id,name,Country,city,rating,rating_count,cuisine,link,address
567335,AB FOODS POINT,India,Abohar,--,Too Few Ratings,"Beverages,Pizzas",https://www.swiggy.com/restaurants/ab-foods-point-central-abohar-abohar-567335,"AB FOODS POINT, NEAR RISHI NARANG DENTAL CLINIC , NEAR IDBI BANK, ABOHAR"
531342,Janta Sweet House,India,Abohar,4.4,50+ ratings,"Sweets,Bakery",https://www.swiggy.com/restaurants/janta-sweet-house-central-abohar-abohar-531342,"Janta Sweet House, Bazar No.9, Circullar Road, Abohar"
158203,theka coffee desi,India,Abohar,3.8,100+ ratings,Beverages,https://www.swiggy.com/restaurants/theka-coffee-desi-central-raipura-abohar-158203,"theka coffee desi, sahtiya sadan road city"
187912,Singh Hut,India,Abohar,3.7,20+ ratings,"Fast Food,Indian",https://www.swiggy.com/restaurants/singh-hut-nehru-park-main-bazar-abohar-187912,"Singh Hut, CIRCULAR ROAD NEAR NEHRU PARK ABOHAR"
543530,GRILL MASTERS,India,Abohar,--,Too Few Ratings,"Italian-American,Fast Food",https://www.swiggy.com/restaurants/grill-masters-central-abohar-abohar-543530,"GRILL MASTERS, ADA Heights, Abohar - Hanumangarh Rd, Raipura, Abohar, Punjab 152116, India"
158204,Sam Uncle,India,Abohar,3.6,20+ ratings,Continental,https://www.swiggy.com/restaurants/sam-uncle-central-main-bazar-abohar-158204,"Sam Uncle, hanumangarh road near raja bajaj showroom abohar"
156588,shere punjab veg,India,Abohar,4,100+ ratings,North Indian,https://www.swiggy.com/restaurants/shere-punjab-veg-central-krishna-nagri-abohar-156588,"shere punjab veg, major surinder chowk near verma sons petrol pump and lic building abohar"
244866,Shri Balaji Vaishno Dhaba,India,Abohar,--,Too Few Ratings,North Indian,https://www.swiggy.com/restaurants/shri-balaji-vaishno-dhaba-central-main-bazar-abohar-244866,"Shri Balaji Vaishno Dhaba, St no 13,6th chowk,main Bazar,near jain bhawan, abohar"
156602,Hinglaj Kachori Bhandhar,India,Abohar,4.2,20+ ratings,"Snacks,Chaat",https://www.swiggy.com/restaurants/hinglaj-kachori-bhandhar-central-main-bazar-abohar-156602,"Hinglaj Kachori Bhandhar, street no 11 circular road ,Abohar"
158193,yummy hub,India,Abohar,--,Too Few Ratings,Indian,https://www.swiggy.com/restaurants/yummy-hub-central-abohar-abohar-158193,"yummy hub, hanumangarh road near dr naveen sethi hospitalabohar"
407249,CHAWLA SAAB THE JUICE MASTER,India,Abohar,--,Too Few Ratings,"Juices,Beverages",https://www.swiggy.com/restaurants/chawla-saab-the-juice-master-central-abohar-abohar-407249,"CHAWLA SAAB THE JUICE MASTER, SAHITYA SADAN MARKET, ABOHAR ,  Abohar (M Cl) , Fazilka 1(Abohar), Fazilka,  Punjab-152116"
156590,Sethi Milk Badam,India,Abohar,4.2,20+ ratings,"Sweets,Desserts",https://www.swiggy.com/restaurants/sethi-milk-badam-central-krishna-nagri-abohar-156590,"Sethi Milk Badam, main bazar street no 11 abohar"
338749,Swastik Dhaba,India,Abohar,--,Too Few Ratings,North Indian,https://www.swiggy.com/restaurants/swastik-dhaba-central-krishna-nagri-abohar-338749,"Swastik Dhaba, Gaushala road street no 22 near shiv mandir abohar"
156601,Jodhpuri Kachori,India,Abohar,--,Too Few Ratings,Snacks,https://www.swiggy.com/restaurants/jodhpuri-kachori-central-main-bazar-abohar-156601,"Jodhpuri Kachori, mandi 1 street no 4 main bazar near sbi bank abohar"
156587,Bharawan Da Dhaba,India,Abohar,4.4,50+ ratings,Indian,https://www.swiggy.com/restaurants/bharawan-da-dhaba-central-abohar-abohar-156587,"Bharawan Da Dhaba, rimpy bakery 12 circular road main bazar abohar"
158192,Tandoori Nights,India,Abohar,--,Too Few Ratings,Tandoor,https://www.swiggy.com/restaurants/tandoori-nights-central-abohar-abohar-158192,"Tandoori Nights, near civil hospital canteen abohar"
394554,Roll Express,India,Abohar,4,20+ ratings,Fast Food,https://www.swiggy.com/restaurants/roll-express-central-abohar-abohar-394554,"Roll Express, Roll Express, Opposite Dr. Sarla Sethi Hospital, Near DAV College, Hanumangarh Road, Abohar"
158195,wah ji waah veg and non veg corner,India,Abohar,--,Too Few Ratings,"North Indian,Chinese",https://www.swiggy.com/restaurants/wah-ji-waah-veg-and-non-veg-corner-central-canal-colony-abohar-158195,"wah ji waah veg and non veg corner, Hanuman garh road, Down the flyover. Near Dr.Navin Sheety Abohar"
257181,Shri Balaji fast food and Variety store,India,Abohar,--,Too Few Ratings,Indian,https://www.swiggy.com/restaurants/shri-balaji-fast-food-and-variety-store-central-model-town-abohar-257181,"Shri Balaji fast food and Variety store, opposite Loona Nursing home"
530909,FOODY MOOD,India,Abohar,4.7,20+ ratings,"Fast Food,Chinese",https://www.swiggy.com/restaurants/foody-mood-central-abohar-abohar-530909,"FOODY MOOD, Arya nagar St no 7 Abohar, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
573649,PUNJABI TADKA,India,Abohar,--,Too Few Ratings,"Punjabi,North Indian",https://www.swiggy.com/restaurants/punjabi-tadka-central-abohar-abohar-573649,"PUNJABI TADKA, HANUMANGARH ROAD,UNDER  FLYOVER,OPP SETHI REGENCY ABOHAR,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
573656,PUNJABI TADKA CHICKEN HUB,India,Abohar,--,Too Few Ratings,"North Indian,Tandoor",https://www.swiggy.com/restaurants/punjabi-tadka-chicken-hub-central-abohar-abohar-573656,"PUNJABI TADKA CHICKEN HUB, HANUMANGARH ROAD,UNDER  FLYOVER,OPP SETHI REGENCY ABOHAR,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
420675,Royal Chicken,India,Abohar,4.2,20+ ratings,"Mughlai,North Indian",https://www.swiggy.com/restaurants/royal-chicken-central-abohar-abohar-420675,"Royal Chicken, Near Naveen Sethi Hospital, Under Flyover, Abohar"
427610,Just Baked,India,Abohar,--,Too Few Ratings,"Beverages,Pizzas",https://www.swiggy.com/restaurants/just-baked-central-abohar-abohar-427610,"Just Baked, New Abadi, Ward no. 22, Abohar (M Cl), Fazilka 1(Abohar), Fazilka, Punjab - 152116"
435582,Picado International Food,India,Abohar,--,Too Few Ratings,"Pizzas,Beverages",https://www.swiggy.com/restaurants/picado-international-food-central-abohar-abohar-435582,"Picado International Food, Opp New Grain Market, Fazilka Road, Abohar"
382204,PubG Cafe,India,Abohar,--,Too Few Ratings,"Chinese,Pizzas",https://www.swiggy.com/restaurants/pubg-cafe-central-abohar-abohar-382204,"PubG Cafe, St. No 2, Near Essar petrol pump, Sitto  road, Model Town , Abohar, Fazilka,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
460692,Verma Dhaba,India,Abohar,--,Too Few Ratings,Indian,https://www.swiggy.com/restaurants/verma-dhaba-central-abohar-abohar-460692,"Verma Dhaba, GangaNagar Road, Near Tara Estate, Abohar"
368328,Fresh Food Cafe,India,Abohar,--,Too Few Ratings,North Indian,https://www.swiggy.com/restaurants/fresh-food-cafe-central-model-town-abohar-368328,"Fresh Food Cafe, Sito Road, Near Railway Crossing, Model Town, Abohar"
530878,NAVU PIZZA HOUSE,India,Abohar,--,Too Few Ratings,"Pizzas,Fast Food",https://www.swiggy.com/restaurants/navu-pizza-house-central-abohar-abohar-530878,"NAVU PIZZA HOUSE, COLLEGE ROAD ABOHAR,ABOHAR,FAZILKA 1,FAZILKA PUNJAB-152116"
171675,Domino's Pizza,India,Abohar,4.4,20+ ratings,Pizzas,https://www.swiggy.com/restaurants/dominos-pizza-central-raipura-abohar-171675,"Domino's Pizza, ADAHeights,HanumangarhRoad,SunderNagari,Abohar,District,Fazilka"
475283,Joker Cafe,India,Abohar,--,Too Few Ratings,Indian,https://www.swiggy.com/restaurants/joker-cafe-central-abohar-abohar-475283,"Joker Cafe, First Floor, Shop No.226, City Walk  Mall, College Road, Fazilka  1(Abohar), Fazilka, , Punjab, 152116"
421155,Deepak Dhaba,India,Abohar,--,Too Few Ratings,"North Indian,Chinese",https://www.swiggy.com/restaurants/deepak-dhaba-central-abohar-abohar-421155,"Deepak Dhaba, Sito Chowk Near By Pass, Abohar"
545273,FUN TIME (SHARMA DAIRY),India,Abohar,--,Too Few Ratings,Ice Cream,https://www.swiggy.com/restaurants/fun-time-sharma-dairy-central-abohar-abohar-545273,"FUN TIME (SHARMA DAIRY), ST NO. 10,NEW ABADI ABOHAR,FAZILKA,PUNJAB 152116"
440811,Pari Healthy Food,India,Abohar,--,Too Few Ratings,"Pizzas,American",https://www.swiggy.com/restaurants/pari-healthy-food-central-abohar-abohar-440811,"Pari Healthy Food, Dhani Bishesharnath, Kandhwal Road, Abohar"
420586,Bhatti Ki Rasoi,India,Abohar,--,Too Few Ratings,North Indian,https://www.swiggy.com/restaurants/bhatti-ki-rasoi-central-abohar-abohar-420586,"Bhatti Ki Rasoi, HANUMANGARH ROAD, AZIMGARH CHUNGI, Fazilka, Punjab- 152116"
448046,SETHI PUNJABI RASOI,India,Abohar,--,Too Few Ratings,Indian,https://www.swiggy.com/restaurants/sethi-punjabi-rasoi-central-abohar-abohar-448046,"SETHI PUNJABI RASOI, HANUMANGARH ROAD NEAR AZIMGARH  CHUNGI OPPOSITE BABA DEEP SINGH  GURUDHWARA ABOHAR, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
187921,Kurda Ram Desi Ghee Dhaba(Original & Famous),India,Abohar,--,Too Few Ratings,North Indian,https://www.swiggy.com/restaurants/kurda-ram-desi-ghee-dhaba-original-and-famous-near-sbi-nai-abadi-abohar-187921,"Kurda Ram Desi Ghee Dhaba(Original & Famous), BAZAR NO. 4, ABOHAR, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
551512,Paratha 24x7,India,Abohar,--,Too Few Ratings,"Indian,Thalis",https://www.swiggy.com/restaurants/paratha-24x7-central-abohar-abohar-551512,"Paratha 24x7, Waryam nagar, Abohar (M Cl), Fazilka   1(Abohar), Fazilka, Punjab - 152116"
351387,NIKKU VEG THALI,India,Abohar,4.1,100+ ratings,North Indian,https://www.swiggy.com/restaurants/nikku-veg-thali-central-old-suraj-nagari-abohar-351387,"NIKKU VEG THALI, College Road, Near Railway Line, Abohar"
432675,PARJAPATI FAST FOOD,India,Abohar,--,Too Few Ratings,"Fast Food,American",https://www.swiggy.com/restaurants/parjapati-fast-food-central-abohar-abohar-432675,"PARJAPATI FAST FOOD, NEW GRAIN MARKET, NEAR SEWA KENDR, Fazilka 1(Abohar), Fazilka, , Punjab, 152116"
302868,Ganesh Fast Food,India,Abohar,--,Too Few Ratings,Chaat,https://www.swiggy.com/restaurants/ganesh-fast-food-central-civil-line-abohar-302868,"Ganesh Fast Food, Abohar, Fazlika road chowk, near Barundham"
